model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 M Class,2015.0,18495,Semi-Auto,71000.0,Diesel,200.0,46.3,2.1
 C Class,2016.0,14498,Manual,21945.0,Petrol,125.0,53.3,2.0
 GLC Class,2019.0,38999,Semi-Auto,9487.0,Diesel,145.0,40.9,2.0
 S Class,2014.0,41980,Automatic,26000.0,Petrol,555.0,28.0,5.5
 C Class,2019.0,21497,Semi-Auto,3539.0,Diesel,145.0,64.2,1.6
 GLA Class,2018.0,19990,Semi-Auto,24508.0,Petrol,145.0,48.7,1.6
 C Class,2017.0,13587,Semi-Auto,61305.0,Diesel,150.0,65.7,1.6
 C Class,2019.0,28990,Semi-Auto,2000.0,Diesel,145.0,57.7,2.0
 GLC Class,2016.0,22498,Semi-Auto,25220.0,Diesel,125.0,56.5,2.1
 A Class,2013.0,9995,Semi-Auto,47000.0,Diesel,20.0,68.9,1.8
 B Class,2015.0,10991,Semi-Auto,50501.0,Diesel,20.0,68.9,2.1
 E Class,2017.0,20998,Semi-Auto,27671.0,Diesel,145.0,72.4,2.0
 E Class,2015.0,17698,Semi-Auto,27622.0,Diesel,145.0,54.3,3.0
 A Class,2017.0,18890,Automatic,7875.0,Petrol,150.0,53.3,1.6
 GLE Class,2017.0,25498,Semi-Auto,35725.0,Diesel,200.0,47.9,2.1
 GLA Class,2015.0,17998,Semi-Auto,42942.0,Petrol,200.0,42.8,2.0
 C Class,2017.0,18499,Semi-Auto,28480.0,Diesel,30.0,64.2,1.6
 A Class,2020.0,26499,Semi-Auto,2600.0,Petrol,145.0,53.3,1.3
 E Class,2015.0,19498,Semi-Auto,26999.0,Diesel,160.0,51.4,3.0
 CLS Class,2018.0,34990,Automatic,18837.0,Diesel,150.0,47.9,2.9
 GLC Class,2019.0,35490,Automatic,2644.0,Diesel,145.0,40.9,2.0
 B Class,2019.0,21394,Automatic,9573.0,Petrol,145.0,45.6,1.3
 C Class,2020.0,31790,Automatic,3500.0,Petrol,145.0,64.2,2.0
 C Class,2014.0,14490,Semi-Auto,31801.0,Diesel,20.0,64.2,2.1
 GLA Class,2017.0,17299,Semi-Auto,27775.0,Diesel,145.0,67.3,2.1
 C Class,2016.0,15220,Semi-Auto,39656.0,Diesel,20.0,65.7,2.1
 E Class,2018.0,22499,Semi-Auto,26695.0,Diesel,145.0,65.7,2.0
 E Class,2015.0,17998,Semi-Auto,34464.0,Diesel,145.0,53.3,3.0
 V Class,2018.0,19998,Manual,27222.0,Diesel,145.0,46.3,2.1
 GLE Class,2018.0,29990,Semi-Auto,15523.0,Diesel,145.0,42.8,3.0
 GLE Class,2017.0,31998,Semi-Auto,30227.0,Diesel,300.0,39.2,3.0
 GL Class,2015.0,34129,Automatic,13581.0,Diesel,330.0,36.2,3.0
 C Class,2019.0,19999,Semi-Auto,14360.0,Petrol,150.0,46.3,1.5
 A Class,2019.0,19999,Manual,7709.0,Petrol,150.0,28.5,1.3
 C Class,2019.0,28980,Automatic,5500.0,Diesel,145.0,60.1,2.0
 E Class,2019.0,22990,Semi-Auto,14107.0,Diesel,145.0,72.4,2.0
 A Class,2016.0,14999,Semi-Auto,22433.0,Diesel,20.0,74.3,1.5
 B Class,2017.0,12498,Manual,29559.0,Diesel,20.0,68.9,1.5
 A Class,2017.0,15498,Manual,35295.0,Diesel,20.0,68.9,1.5
 GLE Class,2017.0,30298,Semi-Auto,12805.0,Diesel,150.0,47.9,2.1
 GLA Class,2016.0,17462,Semi-Auto,24412.0,Diesel,30.0,64.2,2.1
 CLS Class,2015.0,19298,Semi-Auto,35866.0,Diesel,160.0,49.6,3.0
 B Class,2015.0,11991,Semi-Auto,59492.0,Diesel,20.0,67.3,2.1
 GLE Class,2015.0,21967,Semi-Auto,47430.0,Diesel,200.0,47.9,2.1
 E Class,2019.0,39950,Semi-Auto,9200.0,Diesel,145.0,72.4,2.0
 GLC Class,2016.0,24995,Automatic,40343.0,Diesel,125.0,56.5,2.1
 A Class,2018.0,23498,Semi-Auto,5189.0,Petrol,150.0,53.3,1.3
 GL Class,2007.0,8490,Automatic,74000.0,Diesel,570.0,28.8,3.0
 C Class,2016.0,14450,Semi-Auto,34000.0,Diesel,20.0,65.7,2.1
 C Class,2018.0,20489,Semi-Auto,16900.0,Diesel,145.0,61.4,2.1
 GLA Class,2015.0,17498,Semi-Auto,30154.0,Diesel,125.0,55.4,2.1
 C Class,2019.0,24998,Semi-Auto,15536.0,Petrol,145.0,47.1,1.5
 B Class,2014.0,9998,Semi-Auto,16378.0,Diesel,20.0,68.9,1.5
 E Class,2017.0,20498,Semi-Auto,20195.0,Diesel,20.0,72.4,2.0
 B Class,2017.0,17513,Automatic,14128.0,Diesel,150.0,68.9,2.1
 A Class,2019.0,18499,Semi-Auto,16467.0,Diesel,145.0,65.7,1.5
 C Class,2015.0,16998,Semi-Auto,66796.0,Other,0.0,74.3,2.1
 SL CLASS,2016.0,19998,Semi-Auto,27801.0,Petrol,145.0,47.9,2.0
 E Class,2019.0,44999,Semi-Auto,5500.0,Petrol,145.0,29.7,3.0
 A Class,2019.0,20991,Semi-Auto,2513.0,Diesel,145.0,65.7,1.5
 A Class,2019.0,20998,Semi-Auto,6354.0,Diesel,145.0,65.7,1.5
 E Class,2010.0,6980,Manual,79000.0,Petrol,300.0,35.3,1.8
 A Class,2020.0,25990,Semi-Auto,2000.0,Petrol,145.0,47.9,1.3
 GLC Class,2017.0,29998,Semi-Auto,23326.0,Diesel,150.0,56.5,2.1
 C Class,2016.0,23920,Automatic,18865.0,Diesel,30.0,65.7,2.1
 GLE Class,2017.0,27692,Semi-Auto,29548.0,Diesel,260.0,42.8,3.0
 C Class,2017.0,18995,Automatic,11800.0,Diesel,145.0,61.4,2.1
 A Class,2014.0,12450,Manual,55253.0,Diesel,30.0,62.8,2.1
 GLE Class,2017.0,30298,Semi-Auto,14786.0,Diesel,200.0,47.9,2.1
 GLC Class,2018.0,30682,Automatic,14517.0,Diesel,145.0,56.5,2.1
 A Class,2019.0,21990,Automatic,6954.0,Diesel,145.0,67.3,1.5
 A Class,2019.0,18904,Semi-Auto,7848.0,Diesel,145.0,68.9,1.5
 GLA Class,2016.0,17450,Semi-Auto,17626.0,Diesel,30.0,64.2,2.1
 GLA Class,2016.0,19999,Semi-Auto,17344.0,Diesel,125.0,56.5,2.1
 A Class,2018.0,20991,Semi-Auto,19561.0,Petrol,150.0,45.6,2.0
 GLC Class,2019.0,32998,Semi-Auto,12831.0,Diesel,145.0,44.8,2.0
 C Class,2014.0,9891,Semi-Auto,52500.0,Diesel,125.0,57.7,2.1
 GLC Class,2018.0,27590,Semi-Auto,16776.0,Diesel,145.0,56.5,2.1
 C Class,2020.0,28990,Automatic,3458.0,Petrol,145.0,46.3,1.5
 GLC Class,2017.0,27520,Semi-Auto,33590.0,Diesel,145.0,56.5,2.1
 C Class,2018.0,27698,Semi-Auto,10579.0,Diesel,145.0,54.3,2.0
 C Class,2014.0,11791,Semi-Auto,42879.0,Diesel,145.0,53.3,2.1
 CL Class,2014.0,15998,Semi-Auto,42514.0,Diesel,30.0,62.8,2.1
 C Class,2019.0,30055,Automatic,3686.0,Diesel,145.0,54.3,2.0
 A Class,2018.0,17490,Manual,15049.0,Diesel,145.0,62.8,2.1
 GLA Class,2019.0,22375,Automatic,13850.0,Diesel,145.0,67.3,2.1
 C Class,2016.0,14698,Manual,19864.0,Diesel,20.0,70.6,2.1
 C Class,2019.0,28995,Semi-Auto,4099.0,Petrol,145.0,46.3,1.5
 E Class,2019.0,55499,Semi-Auto,2991.0,Petrol,145.0,31.7,3.0
 C Class,2019.0,23990,Automatic,1647.0,Petrol,145.0,45.6,1.5
 CL Class,2018.0,21495,Semi-Auto,8016.0,Petrol,145.0,52.3,1.6
 A Class,2019.0,18118,Automatic,15561.0,Diesel,145.0,68.9,1.5
 M Class,2014.0,16998,Automatic,59812.0,Diesel,300.0,39.2,3.0
 A Class,2017.0,79999,Semi-Auto,13781.0,Petrol,145.0,30.1,4.0
 E Class,2016.0,19501,Semi-Auto,25783.0,Diesel,20.0,67.3,2.0
 E Class,2019.0,49500,Automatic,4250.0,Petrol,145.0,31.7,3.0
 A Class,2019.0,21998,Semi-Auto,11578.0,Petrol,150.0,53.3,1.3
 A Class,2020.0,26980,Automatic,1000.0,Diesel,145.0,62.8,1.5
 C Class,2019.0,24998,Semi-Auto,16103.0,Petrol,145.0,47.1,1.5
 GLC Class,2018.0,31998,Semi-Auto,11605.0,Diesel,145.0,56.5,2.1
 GLC Class,2019.0,34950,Automatic,3100.0,Diesel,145.0,43.5,2.0
 E Class,2019.0,24995,Semi-Auto,8400.0,Diesel,145.0,72.4,2.0
 GLE Class,2016.0,24495,Automatic,32790.0,Diesel,260.0,42.8,3.0
 C Class,2019.0,25950,Automatic,10485.0,Petrol,145.0,47.1,1.5
 C Class,2019.0,24498,Semi-Auto,7937.0,Petrol,150.0,47.1,1.5
 B Class,2015.0,11995,Semi-Auto,41500.0,Diesel,20.0,67.3,1.5
 CL Class,2018.0,18940,Automatic,20000.0,Diesel,150.0,70.6,2.1
 B Class,2019.0,21499,Semi-Auto,14244.0,Petrol,145.0,45.6,1.3
 C Class,2019.0,32498,Semi-Auto,11301.0,Diesel,145.0,61.4,2.0
 C Class,2019.0,24998,Semi-Auto,22400.0,Petrol,145.0,44.1,1.5
 CL Class,2015.0,14990,Manual,35283.0,Petrol,145.0,48.7,1.6
 V Class,2020.0,52999,Semi-Auto,1000.0,Diesel,145.0,36.2,2.0
 GLA Class,2018.0,20810,Automatic,18462.0,Petrol,145.0,42.8,2.0
 A Class,2020.0,24799,Semi-Auto,1400.0,Petrol,145.0,28.5,1.3
 C Class,2017.0,16991,Semi-Auto,29907.0,Diesel,145.0,64.2,2.1
 A Class,2016.0,12456,Manual,49436.0,Diesel,20.0,72.4,1.5
 E Class,2020.0,45990,Semi-Auto,159.0,Diesel,145.0,45.6,3.0
 GLC Class,2020.0,34999,Semi-Auto,2271.0,Diesel,145.0,44.8,2.0
 GLA Class,2015.0,17998,Semi-Auto,25585.0,Diesel,125.0,56.5,2.1
 E Class,2015.0,20769,Automatic,21874.0,Diesel,165.0,51.4,3.0
 A Class,2016.0,15200,Semi-Auto,39057.0,Diesel,20.0,74.3,1.5
 CLS Class,2016.0,19495,Semi-Auto,31532.0,Diesel,125.0,57.7,2.1
 GLE Class,2016.0,30998,Semi-Auto,14149.0,Diesel,235.0,42.8,3.0
 GLC Class,2018.0,32498,Semi-Auto,12517.0,Diesel,145.0,45.6,3.0
 GLC Class,2017.0,20998,Semi-Auto,40949.0,Diesel,125.0,56.5,2.1
 C Class,2016.0,16998,Semi-Auto,26973.0,Diesel,30.0,65.7,1.6
 C Class,2015.0,17450,Semi-Auto,37000.0,Diesel,30.0,64.2,2.1
 C Class,2017.0,18495,Semi-Auto,22994.0,Petrol,145.0,48.7,2.0
 E Class,2019.0,24999,Semi-Auto,13967.0,Diesel,145.0,72.4,2.0
 A Class,2019.0,19840,Automatic,6781.0,Petrol,145.0,28.5,1.3
 C Class,2016.0,21299,Semi-Auto,12249.0,Petrol,150.0,49.6,2.0
 B Class,2019.0,20380,Automatic,14457.0,Petrol,145.0,45.6,1.3
 GLA Class,2017.0,19990,Semi-Auto,14577.0,Diesel,125.0,56.5,2.1
 CL Class,2019.0,24990,Semi-Auto,13501.0,Diesel,145.0,51.4,2.2
 GLA Class,2015.0,16791,Semi-Auto,42328.0,Diesel,145.0,55.4,2.1
 A Class,2016.0,27995,Automatic,13000.0,Petrol,200.0,40.9,2.0
 A Class,2018.0,18927,Semi-Auto,15013.0,Diesel,145.0,65.7,1.5
 V Class,2019.0,20391,Automatic,18812.0,Diesel,150.0,48.7,2.1
 GLC Class,2019.0,32340,Automatic,1303.0,Diesel,145.0,44.8,2.0
 GLE Class,2016.0,25998,Semi-Auto,27307.0,Diesel,200.0,47.9,2.1
 A Class,2018.0,18990,Semi-Auto,12449.0,Petrol,145.0,53.3,1.3
 B Class,2018.0,15500,Manual,6423.0,Diesel,145.0,68.9,1.5
 CLS Class,2015.0,19698,Semi-Auto,44143.0,Diesel,160.0,51.4,3.0
 GLE Class,2017.0,29698,Semi-Auto,22052.0,Diesel,200.0,47.9,2.1
 E Class,2015.0,13000,Semi-Auto,50963.0,Diesel,125.0,61.4,2.1
 A Class,2015.0,11498,Manual,32648.0,Diesel,0.0,74.3,1.5
 C Class,2020.0,29950,Semi-Auto,101.0,Diesel,145.0,48.7,2.0
 C Class,2017.0,19490,Semi-Auto,31326.0,Diesel,125.0,60.1,2.1
 S Class,2017.0,31998,Semi-Auto,20224.0,Diesel,160.0,52.3,3.0
 A Class,2019.0,20991,Semi-Auto,8728.0,Petrol,145.0,53.3,1.3
 E Class,2019.0,29991,Automatic,10356.0,Diesel,145.0,70.6,2.0
 C Class,2018.0,23498,Semi-Auto,5659.0,Petrol,145.0,40.4,2.0
 CL Class,2017.0,20290,Automatic,21386.0,Diesel,20.0,67.3,2.1
 CL Class,2017.0,19290,Semi-Auto,26626.0,Diesel,20.0,67.3,2.1
 C Class,2019.0,26154,Automatic,14696.0,Diesel,145.0,56.5,2.0
 C Class,2018.0,19490,Semi-Auto,11810.0,Diesel,145.0,61.4,2.1
 B Class,2019.0,24950,Automatic,1440.0,Diesel,145.0,55.4,2.0
 C Class,2016.0,16998,Semi-Auto,21786.0,Diesel,20.0,65.7,2.1
 E Class,2015.0,19498,Semi-Auto,17167.0,Diesel,145.0,54.3,3.0
 E Class,2016.0,19990,Semi-Auto,23543.0,Diesel,160.0,51.4,3.0
 B Class,2014.0,7495,Semi-Auto,70122.0,Diesel,20.0,68.9,1.5
 C Class,2019.0,18790,Semi-Auto,14288.0,Diesel,145.0,64.2,2.1
 GLA Class,2016.0,15561,Semi-Auto,71610.0,Diesel,125.0,56.6,2.1
 C Class,2019.0,28524,Automatic,8263.0,Diesel,145.0,57.7,2.0
 GLA Class,2017.0,17997,Automatic,21298.0,Diesel,145.0,56.5,2.1
 A Class,2019.0,20461,Semi-Auto,14658.0,Petrol,145.0,53.3,1.3
 A Class,2018.0,20570,Semi-Auto,1468.0,Petrol,145.0,53.3,1.3
 GLA Class,2018.0,18950,Semi-Auto,11577.0,Diesel,145.0,67.3,2.1
 C Class,2018.0,19950,Semi-Auto,33082.0,Diesel,145.0,64.2,2.1
 G Class,2016.0,73948,Automatic,4000.0,Petrol,325.0,30.1,4.0
 A Class,2019.0,18499,Semi-Auto,17160.0,Diesel,145.0,65.7,1.5
 C Class,2019.0,28400,Semi-Auto,1287.0,Diesel,145.0,56.5,2.0
 E Class,2015.0,19698,Semi-Auto,23578.0,Diesel,150.0,54.3,3.0
 GLE Class,2017.0,36995,Semi-Auto,15154.0,Diesel,300.0,39.2,3.0
 CL Class,2017.0,20370,Automatic,17050.0,Diesel,145.0,67.3,2.1
 C Class,2015.0,16998,Semi-Auto,43883.0,Diesel,125.0,60.1,2.1
 A Class,2019.0,18499,Semi-Auto,18585.0,Diesel,145.0,65.7,1.5
 GLA Class,2017.0,19340,Semi-Auto,21425.0,Diesel,145.0,56.5,2.1
 C Class,2016.0,20991,Semi-Auto,26205.0,Diesel,125.0,58.9,2.1
 C Class,2016.0,15498,Semi-Auto,73582.0,Diesel,30.0,61.4,2.1
 A Class,2013.0,9498,Manual,80158.0,Diesel,30.0,62.8,1.8
 A Class,2018.0,21998,Semi-Auto,15450.0,Petrol,150.0,53.3,1.3
 S Class,2016.0,28498,Semi-Auto,30135.0,Diesel,200.0,47.9,3.0
 C Class,2016.0,17595,Automatic,28192.0,Diesel,30.0,64.2,2.1
 CLC Class,2010.0,5880,Automatic,40000.0,Petrol,300.0,34.0,1.8
 M Class,2015.0,21498,Semi-Auto,44984.0,Diesel,300.0,39.2,3.0
 CLS Class,2013.0,11991,Semi-Auto,85967.0,Diesel,200.0,46.3,3.0
 GLC Class,2017.0,33990,Semi-Auto,45129.0,Petrol,145.0,34.0,3.0
 C Class,2019.0,25990,Semi-Auto,11728.0,Diesel,145.0,56.5,2.0
 V Class,2018.0,20498,Manual,20138.0,Diesel,145.0,46.3,2.1
 C Class,2019.0,25495,Semi-Auto,5947.0,Petrol,145.0,42.2,1.6
 A Class,2017.0,13790,Manual,18332.0,Petrol,125.0,51.4,1.6
 E Class,2019.0,24498,Semi-Auto,15316.0,Diesel,145.0,72.4,2.0
 C Class,2015.0,16798,Semi-Auto,32409.0,Diesel,30.0,64.2,2.1
 C Class,2014.0,10995,Manual,98000.0,Diesel,20.0,68.9,2.1
 C Class,2014.0,15701,Automatic,20498.0,Diesel,20.0,64.2,2.1
 GLC Class,2018.0,36850,Automatic,4841.0,Petrol,145.0,34.0,3.0
 A Class,2017.0,15787,Automatic,24092.0,Diesel,20.0,70.6,2.1
 E Class,2017.0,20480,Semi-Auto,30567.0,Diesel,145.0,65.7,2.0
 A Class,2019.0,19599,Manual,13993.0,Petrol,145.0,28.5,1.3
 GLA Class,2018.0,23499,Semi-Auto,9979.0,Diesel,150.0,56.5,2.1
 E Class,2016.0,21498,Semi-Auto,29833.0,Diesel,160.0,51.4,3.0
 C Class,2017.0,24735,Semi-Auto,22369.0,Diesel,145.0,61.4,2.1
 M Class,2013.0,16300,Semi-Auto,57367.0,Diesel,200.0,44.8,2.1
 A Class,2019.0,19511,Semi-Auto,10543.0,Diesel,145.0,68.9,1.5
 CL Class,2015.0,19998,Semi-Auto,29682.0,Diesel,20.0,62.8,2.1
 C Class,2017.0,20995,Semi-Auto,33000.0,Diesel,145.0,58.9,2.1
 M Class,2013.0,15880,Semi-Auto,62791.0,Diesel,300.0,39.2,3.0
 E Class,2019.0,23690,Semi-Auto,14077.0,Diesel,145.0,72.4,2.0
 GLE Class,2017.0,26998,Semi-Auto,47120.0,Diesel,200.0,47.9,2.1
 S Class,2015.0,29995,Automatic,17700.0,Diesel,200.0,48.7,3.0
 GLA Class,2016.0,17999,Semi-Auto,33086.0,Diesel,125.0,56.5,2.1
 V Class,2018.0,19498,Manual,29723.0,Diesel,145.0,46.3,2.1
 C Class,2017.0,14990,Semi-Auto,27424.0,Diesel,145.0,65.7,2.1
 C Class,2019.0,30950,Automatic,101.0,Diesel,145.0,55.4,2.0
 A Class,2018.0,29990,Semi-Auto,22923.0,Petrol,150.0,40.9,2.0
 GLC Class,2017.0,28699,Semi-Auto,30063.0,Diesel,145.0,56.5,2.1
 GLE Class,2019.0,56800,Automatic,2483.0,Petrol,145.0,29.5,3.0
 A Class,2018.0,20450,Automatic,6511.0,Diesel,150.0,65.7,1.5
 GLA Class,2015.0,19991,Semi-Auto,29087.0,Petrol,200.0,42.8,2.0
 GLC Class,2020.0,39499,Semi-Auto,305.0,Petrol,145.0,32.1,2.0
 X-CLASS,2019.0,37891,Automatic,303.0,Diesel,265.0,31.4,3.0
 GLC Class,2019.0,35998,Semi-Auto,7540.0,Diesel,145.0,40.9,2.0
 GLA Class,2018.0,20550,Semi-Auto,36615.0,Diesel,145.0,56.5,2.1
 C Class,2017.0,23047,Semi-Auto,8143.0,Diesel,145.0,65.7,2.1
 E Class,2017.0,19999,Semi-Auto,27381.0,Diesel,20.0,72.4,2.0
 A Class,2018.0,19097,Semi-Auto,10494.0,Petrol,145.0,53.3,1.3
 GLE Class,2019.0,44990,Automatic,8351.0,Diesel,145.0,32.8,3.0
 S Class,2015.0,27998,Semi-Auto,14158.0,Diesel,200.0,47.9,3.0
 C Class,2016.0,16498,Semi-Auto,37080.0,Diesel,20.0,64.2,2.1
 C Class,2019.0,29498,Semi-Auto,2195.0,Diesel,145.0,61.4,2.0
 B Class,2019.0,16930,Manual,5317.0,Petrol,145.0,49.6,1.6
 GLA Class,2017.0,19890,Semi-Auto,22693.0,Diesel,125.0,56.5,2.1
 GLE Class,2017.0,31498,Semi-Auto,13718.0,Diesel,145.0,42.8,3.0
 A Class,2015.0,12380,Manual,34119.0,Diesel,20.0,70.6,1.5
 A Class,2019.0,20850,Semi-Auto,12220.0,Petrol,145.0,53.3,1.3
 A Class,2014.0,10498,Manual,63177.0,Diesel,30.0,64.2,2.1
 GLE Class,2016.0,29995,Automatic,27700.0,Diesel,200.0,47.9,2.1
 B Class,2019.0,22490,Semi-Auto,1378.0,Petrol,145.0,45.6,1.3
 C Class,2017.0,19890,Automatic,30281.0,Diesel,150.0,60.1,2.1
 CL Class,2019.0,25640,Semi-Auto,10866.0,Diesel,145.0,51.4,2.2
 C Class,2019.0,28998,Semi-Auto,5116.0,Diesel,145.0,61.4,2.0
 A Class,2019.0,20950,Semi-Auto,4692.0,Diesel,145.0,65.7,1.3
 C Class,2016.0,15699,Semi-Auto,30301.0,Diesel,20.0,65.7,2.1
 E Class,2019.0,39999,Automatic,5000.0,Diesel,145.0,42.8,3.0
 C Class,2015.0,17044,Semi-Auto,48123.0,Diesel,30.0,64.2,2.1
 E Class,2018.0,22699,Semi-Auto,18770.0,Diesel,145.0,67.3,2.0
 A Class,2019.0,24795,Semi-Auto,4499.0,Petrol,145.0,28.5,1.3
 GLC Class,2016.0,22998,Semi-Auto,30162.0,Diesel,125.0,56.5,2.1
 E Class,2019.0,42590,Automatic,12419.0,Petrol,145.0,32.5,3.0
 A Class,2019.0,22998,Semi-Auto,3770.0,Petrol,150.0,53.3,1.3
 CLS Class,2016.0,25077,Automatic,13887.0,Diesel,165.0,49.6,3.0
 CL Class,2014.0,16995,Semi-Auto,37208.0,Diesel,30.0,62.8,2.1
 GLA Class,2019.0,20995,Manual,6587.0,Petrol,145.0,40.9,1.6
 C Class,2014.0,15998,Semi-Auto,26216.0,Diesel,30.0,64.2,2.1
 A Class,2019.0,25701,Automatic,11000.0,Diesel,150.0,56.5,2.0
 GLC Class,2019.0,47484,Automatic,3439.0,Petrol,145.0,27.4,4.0
 C Class,2016.0,17820,Semi-Auto,30748.0,Diesel,20.0,68.9,2.1
 V Class,2016.0,17998,Manual,21981.0,Diesel,200.0,46.3,2.1
 C Class,2019.0,28990,Automatic,2501.0,Diesel,145.0,64.2,2.0
 A Class,2016.0,14495,Semi-Auto,55769.0,Diesel,20.0,68.9,2.1
 S Class,2019.0,54990,Automatic,1501.0,Diesel,145.0,41.5,3.0
 A Class,2013.0,10950,Manual,56000.0,Diesel,20.0,70.6,1.5
 CL Class,2017.0,16490,Manual,32282.0,Petrol,145.0,51.4,1.6
 GLA Class,2016.0,17863,Automatic,28483.0,Diesel,125.0,56.5,2.1
 C Class,2019.0,25795,Semi-Auto,12986.0,Diesel,145.0,58.9,2.0
 A Class,2016.0,11990,Manual,39853.0,Diesel,20.0,72.4,1.5
 A Class,2018.0,19097,Semi-Auto,7844.0,Petrol,145.0,53.3,1.3
 GLS Class,2018.0,41995,Automatic,14718.0,Diesel,145.0,37.2,3.0
 GLC Class,2018.0,24690,Semi-Auto,40422.0,Diesel,145.0,56.5,2.1
 G Class,2015.0,52995,Semi-Auto,34400.0,Diesel,570.0,25.2,3.0
 GLA Class,2016.0,17999,Semi-Auto,35231.0,Diesel,125.0,56.6,2.1
 GLA Class,2017.0,17495,Automatic,45500.0,Diesel,125.0,56.5,2.1
 A Class,2019.0,18085,Semi-Auto,14669.0,Diesel,145.0,68.9,1.5
 GLE Class,2017.0,36999,Semi-Auto,10946.0,Petrol,305.0,32.8,3.0
 A Class,2018.0,18990,Semi-Auto,5020.0,Petrol,145.0,53.3,1.3
 GLE Class,2015.0,24950,Semi-Auto,43800.0,Diesel,200.0,47.9,2.1
 C Class,2014.0,16995,Automatic,37600.0,Diesel,30.0,64.2,2.1
 C Class,2016.0,20990,Semi-Auto,20972.0,Diesel,30.0,64.2,2.1
 A Class,2013.0,15498,Semi-Auto,27415.0,Petrol,160.0,44.1,2.0
 C Class,2016.0,19290,Semi-Auto,17600.0,Diesel,30.0,64.2,2.1
 GLA Class,2020.0,23990,Semi-Auto,2500.0,Petrol,145.0,37.2,1.6
 C Class,2019.0,24510,Automatic,11368.0,Diesel,145.0,58.9,1.6
 A Class,2014.0,12990,Semi-Auto,41362.0,Petrol,145.0,49.6,1.6
 C Class,2017.0,20990,Semi-Auto,19733.0,Petrol,150.0,48.7,2.0
 GL Class,2015.0,30698,Semi-Auto,44902.0,Diesel,325.0,36.2,3.0
 SL CLASS,2010.0,16990,Automatic,18000.0,Petrol,555.0,29.1,3.5
 GLC Class,2020.0,37998,Semi-Auto,5538.0,Diesel,150.0,40.9,2.0
 E Class,2016.0,20298,Semi-Auto,26707.0,Diesel,145.0,54.3,3.0
 GLA Class,2018.0,21795,Semi-Auto,15387.0,Petrol,145.0,48.7,1.6
 B Class,2019.0,20998,Semi-Auto,10713.0,Petrol,145.0,45.6,1.3
 CL Class,2016.0,20995,Semi-Auto,8008.0,Diesel,20.0,67.3,2.1
 CLS Class,2013.0,12210,Automatic,54238.0,Diesel,145.0,54.3,2.1
 CLS Class,2017.0,20999,Semi-Auto,30987.0,Diesel,125.0,57.7,2.1
 CL Class,2016.0,18799,Semi-Auto,19930.0,Diesel,20.0,70.6,2.1
 GLA Class,2016.0,16998,Semi-Auto,30129.0,Diesel,125.0,56.5,2.1
 E Class,2017.0,21950,Automatic,26355.0,Diesel,145.0,65.7,2.0
 GLC Class,2016.0,21998,Semi-Auto,49986.0,Diesel,125.0,56.5,2.1
 C Class,2018.0,20885,Semi-Auto,22773.0,Diesel,145.0,61.4,2.1
 C Class,2017.0,18433,Semi-Auto,34278.0,Diesel,145.0,61.4,2.1
 GLA Class,2018.0,21591,Semi-Auto,11700.0,Diesel,145.0,56.5,2.1
 A Class,2014.0,11990,Manual,61307.0,Diesel,20.0,70.6,1.5
 CL Class,2020.0,27480,Semi-Auto,2459.0,Petrol,145.0,44.1,1.3
 E Class,2017.0,19998,Semi-Auto,52570.0,Diesel,30.0,65.7,2.0
 C Class,2019.0,27595,Semi-Auto,11480.0,Diesel,145.0,56.5,2.0
 SL CLASS,2017.0,20998,Semi-Auto,13526.0,Petrol,145.0,47.9,2.0
 CL Class,2015.0,16498,Manual,25920.0,Petrol,125.0,51.4,1.6
 GLE Class,2017.0,29998,Semi-Auto,15626.0,Diesel,265.0,42.8,3.0
 C Class,2015.0,36990,Automatic,12659.0,Petrol,300.0,34.5,4.0
 E Class,2016.0,19845,Automatic,32741.0,Diesel,30.0,65.7,2.0
 E Class,2016.0,17990,Semi-Auto,34356.0,Diesel,20.0,72.4,2.0
 SL CLASS,2016.0,20498,Semi-Auto,10643.0,Diesel,30.0,70.6,2.1
 E Class,2017.0,21391,Semi-Auto,16654.0,Diesel,145.0,72.4,2.0
 C Class,2019.0,23498,Semi-Auto,19204.0,Diesel,150.0,61.4,2.0
 A Class,2014.0,9500,Manual,66237.0,Diesel,20.0,72.4,1.5
 E Class,2016.0,19498,Semi-Auto,38238.0,Diesel,165.0,52.3,3.0
 C Class,2016.0,19498,Semi-Auto,22803.0,Diesel,30.0,61.4,2.1
 E Class,2016.0,19998,Semi-Auto,18718.0,Diesel,145.0,54.3,3.0
 SL CLASS,2019.0,57995,Automatic,1201.0,Petrol,145.0,29.4,3.0
 GLA Class,2014.0,15495,Semi-Auto,60895.0,Diesel,145.0,55.4,2.1
 C Class,2017.0,19250,Semi-Auto,23523.0,Diesel,125.0,60.1,2.1
 C Class,2015.0,17498,Semi-Auto,42471.0,Other,0.0,76.4,2.1
 C Class,2019.0,25498,Semi-Auto,8150.0,Diesel,145.0,60.1,1.6
 B Class,2014.0,9498,Semi-Auto,40217.0,Diesel,30.0,64.2,1.5
 C Class,2019.0,26890,Semi-Auto,1705.0,Petrol,145.0,42.2,1.6
 GLE Class,2015.0,34998,Semi-Auto,22651.0,Diesel,300.0,39.2,3.0
 GLA Class,2015.0,18998,Semi-Auto,33114.0,Diesel,125.0,56.5,2.1
 A Class,2016.0,15597,Semi-Auto,20866.0,Diesel,20.0,70.6,2.1
